isbn,genre,cover,title,authors,publisher,year,preco_medio,collection,volume,pages,type,preco_correto
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/o_fotografo_3.jpg,O fotógrafo 3,Emmanuel Guibert,Conrad,2010,41.32,O fotógrafo,3,86,Collection,no
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/eles_nos_chamavam_de_inimigo.jpg,Eles nos chamavam de inimigo,George Takei,Devir,2019,64.75,No collection,0,205,Collection,no
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/pyongyang.jpg,Pyongyang,Guy Delisle,Zarabatana,2007,26.0,No collection,0,192,Collection,no
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/shenzen.jpg,Shenzen,Guy Delisle,Zarabatana,2009,32.97,No collection,0,160,Collection,no
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/um_cadaver_no_rio_imjin.jpg,Um cadáver no rio imjin,Harvey Kurtzman,Veneta,2022,0.0,No collection,0,264,Collection,no
0,Outros,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/cidades_ilustradas_curitiba.jpg,Cidades ilustradas Curitiba,Cesar Lobo,Casa 21,2004,105.0,Cidades ilustradas,0,50,Collection,no
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/metamaus.jpg,Metamaus,Art Spiegelman,Quadrinhos na cia,2022,241.17,No collection,0,299,Collection,no
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/os_anos_allende.jpg,Os anos allende,Carlos Reyes,Zarabatana,2021,40.07,No collection,0,128,Collection,no
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/quadrinhos_queer.jpg,Quadrinhos queer,Carlos Reyes,Skript,2020,80.08,No collection,0,300,Collection,no
0,Quadrinhos,https://raw.githubusercontent.com/a-ruivo/books_catalog/main/images/nao_era_voce_que_eu_esperava.jpg,Não era você que eu esperava,Fabien Toulme,Nemo,2022,54.0,No collection,0,244,Collection,no
